,name,company,year,Price,kms_driven,fuel_type
0,Duster 110 PS,Renault,2009,664252,95581,CNG
1,Etios Liva,Toyota,2006,579360,134715,CNG
2,Suzuki Alto 800,Maruti,2012,1508602,80824,CNG
3,Captur RXL,Renault,2007,428681,69508,Diesel
4,Suzuki Baleno,Maruti,2006,590508,95990,CNG
6,Civic 1.8V,Honda,2010,1444188,20719,CNG
7,Amaze SX,Honda,2001,714684,5588,Diesel
8,Innova 2.5 V,Toyota,2020,563687,78610,CNG
9,Suzuki Baleno,Maruti,2010,1214757,65825,CNG
10,Jeep CL550,Mahindra,2015,634570,114960,Diesel
11,Suzuki Swift,Maruti,2017,1896286,64570,CNG
12,City VX,Honda,2000,703833,328,Petrol
13,Ameo 1.5,Volkswagen,2000,308442,78558,Petrol
14,Scorpio S10,Mahindra,2011,1470551,34177,Petrol
15,Verna 1.6,Hyundai,2008,1309814,56121,LPG
16,X1 sDrive,BMW,2023,1248564,110924,LPG
17,Sail 1.2,Chevrolet,2012,1255519,34944,Diesel
18,5 Series 520d,BMW,2015,1105273,80378,CNG
19,Creta 1.6,Hyundai,2005,115665,100188,Petrol
20,Beat LS,Chevrolet,2016,1702910,83554,Diesel
21,Civic 1.8V,Honda,2018,1539338,125373,Petrol
22,3 Series 320d,BMW,2021,181094,28338,CNG
23,EcoSport Titanium,Ford,2013,526329,37026,LPG
25,Terrano XL,Nissan,2010,810036,21754,Diesel
26,Thar CRDe,Mahindra,2001,97333,107628,Petrol
27,Jetta 2.0,Volkswagen,2007,754266,20676,Petrol
28,Tiago Revotorq,Tata,2023,1459011,86111,Petrol
29,Jetta 2.0,Volkswagen,2011,1170602,42243,Petrol
30,Elantra,Hyundai,2017,195112,37811,Petrol
31,Fortuner 3.0,Toyota,2017,202814,56488,CNG
32,Cruze VCDi,Chevrolet,2012,1523362,87916,LPG
33,Fiesta EXI,Ford,2020,1412545,128604,CNG
34,Lodgy 85 PS,Renault,2005,518909,142945,Diesel
35,Creta 1.6,Hyundai,2010,222772,103501,CNG
36,Verna 1.6,Hyundai,2019,1456419,90229,CNG
37,Jeep CL550,Mahindra,2000,335785,124340,Petrol
39,Sunny XV,Nissan,2018,1975998,32716,CNG
40,Beat LS,Chevrolet,2015,1418898,64448,LPG
41,Civic 1.8V,Honda,2020,2136695,147999,Diesel
43,Fortuner 3.0,Toyota,2017,779888,3657,LPG
44,Kicks XL,Nissan,2021,460052,140607,CNG
45,A6 2.0 TDI,Audi,2019,1736052,125365,Diesel
46,Q7 3.0 TDI,Audi,2015,1027813,50882,Petrol
47,GLA Class 200,Mercedes,2018,1516787,108018,Diesel
48,Ikon 1.3,Ford,2012,700714,97755,LPG
49,Indica V2,Tata,2004,290069,60656,LPG
50,Kicks XL,Nissan,2015,1212940,74457,LPG
51,Captur RXL,Renault,2013,1575531,114315,LPG
52,Fabia 1.2L,Skoda,2016,952327,35758,CNG
53,C Class C220,Mercedes,2017,1175522,25405,CNG
54,Endeavour 3.2,Ford,2014,1148582,62476,CNG
55,Amaze SX,Honda,2011,543344,91604,Petrol
56,Civic 1.8V,Honda,2017,650514,51196,Petrol
57,Sunny XV,Nissan,2005,652372,123939,CNG
59,Spark 1.0,Chevrolet,2021,1050417,135812,Diesel
61,3 Series 320d,BMW,2001,304249,104298,Diesel
62,Suzuki Swift,Maruti,2013,1508279,15086,Diesel
63,Fiesta EXI,Ford,2011,359292,44804,Diesel
65,KUV100,Mahindra,2019,1784472,27814,Petrol
66,Endeavour 3.2,Ford,2011,1439456,6741,LPG
67,Terrano XL,Nissan,2006,1084076,84745,LPG
69,Cruze VCDi,Chevrolet,2020,826058,2636,Diesel
70,5 Series 520d,BMW,2009,304513,107769,CNG
71,Q7 3.0 TDI,Audi,2016,244683,38989,Diesel
72,XUV500 W8,Mahindra,2021,1082727,58884,LPG
73,Q3 2.0 TDI,Audi,2005,979335,39215,LPG
74,Jetta 2.0,Volkswagen,2009,363794,128427,LPG
75,E Class E220,Mercedes,2003,235861,80303,Petrol
76,5 Series 520d,BMW,2004,246173,113146,LPG
77,Q7 3.0 TDI,Audi,2022,395082,126909,CNG
78,Santro Xing,Hyundai,2009,138956,144464,Petrol
79,Bolero Power,Mahindra,2018,1534789,6528,Petrol
81,Endeavour 3.2,Ford,2015,278530,101687,LPG
